"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"The study of matter and energy is called physics.", "Ẹ̀kọ́ nípa ọ̀rọ̀ àti agbára ni a ń pè ní Físíìsì.",
"An atom consists of protons, neutrons, and electrons.", "Átọ́mù ní àwọn pùrótónì, niútrónì, àti ẹ̀lékítírónì nínú.",
"The boiling point of water is one hundred degrees Celsius.", "Ìwọ̀n tí omi ń hó jẹ́ ọgọ́rùn-ún díírì sẹ́lísíì.",
"Force is equal to mass multiplied by acceleration.", "Agbára dọ́gba pẹ̀lú ìwọ̀n ara tísì ìyára kánkán.",
"Photosynthesis requires sunlight, water, and carbon dioxide.", "Ìṣiṣẹ́-oòrùn-sínú-ewé nílò ìmọ́lẹ̀ oòrùn, omi, àti kábọ̀nì dáyọ́ọ́ìdì.",
"An electric circuit must be closed to allow current flow.", "Kọ́ọ̀kì ẹ̀lékítíríkì gbọ́dọ̀ wà ní títì láti gba ṣíṣàn kọ́ọ̀ǹtì.",
"Potential energy is stored energy in an object.", "Agbára ìpamọ́ ni agbára tí ó wà nínú nnkan.",
"The square root of sixty-four is eight.", "Gbòngbò ìṣẹ́po kẹrin ọgọ́ta-dínlọ́gún ni mẹ́jọ.",
"Oxidation involves the loss of electrons during a reaction.", "Ìyípadà-oksídéèṣàn kan nípa ṣíṣé ẹ̀lékítírónì nínú ìṣiṣẹ́ kẹ́míkà.",
"Velocity is the rate of change of displacement.", "Ìyára ìtọ́sọ́nà ni oṣùwọ̀n àyípadà ìfipò.",
"Acids turn blue litmus paper into red.", "Ásìdì ń yí ẹ̀wé lítímọ̀sì onípò búlúù sí pípá.",
"A right-angled triangle has an angle of ninety degrees.", "Tíríàngùlù tí ó ní igun ọ̀tún ní igun tí ó jẹ́ àádọ́rùn-ún díírì.",
"DNA carries the genetic information of living organisms.", "DNA ń gbé ìwífún ìbímọ ti àwọn ẹ̀dá alààyè.",
"Magnetic fields exert force on moving charges.", "Ààyè mágíńtì ń lo agbára lórí àwọn ẹ̀sùn tí ó ń rìn.",
"The periodic table classifies all chemical elements.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń sọ àwọn ẹ̀yà kẹ́míkà lẹ́sẹẹsẹ.",
"Gravity causes objects to fall towards the ground.", "Òòfà ilẹ̀ ń fa àwọn nnkan láti ṣubú sílẹ̀.",
"Kinetic energy is the energy of motion.", "Agbára ìsúnni ni agbára tí ó wà nínú ìrìn.",
"Sound waves travel faster in solids than in gases.", "Ìyára ìró ń rìn kíákíá nínú àwọn nǹkan líle ju nínú gáàsì lọ.",
"A catalyst speeds up a chemical reaction without being consumed.", "Kátálísì ń mú ìṣiṣẹ́ kẹ́míkà yára láì jẹ́ pé ó di fífún.",
"The earth rotates on its axis once every twenty-four hours.", "Ilẹ̀ ayé ń yí lórí àtìlẹ́yìn rẹ̀ lẹ́ẹ̀kan ní ọgọ́rùn-ún kọ̀ọ̀kan wákàtí mẹ́rìnlélógún."
"The heart pumps blood through the circulatory system.", "Ọkàn ń fa ẹ̀jẹ̀ ṣàn gba ètò ìṣàn ẹ̀jẹ̀.",
"Plants absorb water through their roots.", "Àwọn ewéko ń fa omi mọ́ra nípasẹ̀ gbòngbò wọn.",
